Transaction,P50,P90,P95,P99
order,28.2122,49.4221,59.2948,136.4791
delivery,43.599,64.1097,73.6354,148.4404
payment,12.3463,29.2012,42.4885,123.5683
stock_level,136.9059,162.2604,173.1581,244.8557
order_status,11.7794,28.899,40.4938,119.9352
