Transaction,P50,P90,P95,P99
stock_level,207.0726,330.8747,371.0484,525.3593
payment,27.514,67.157,176.4691,234.786
order,44.7543,97.4473,199.4617,268.0818
delivery,173.8257,254.4237,309.5426,415.0351
order_status,27.2954,63.732,179.2172,240.5984
