Transaction,P50,P90,P95,P99
order,38.9668,58.9928,65.9165,171.3548
payment,22.0232,41.0785,46.5157,152.3863
order_status,7.292,35.4805,44.3365,30015.8597
stock_level,7.1014,184.2467,203.7459,30014.8845
delivery,51.6427,71.3046,79.6243,162.1549
