Transaction,P50,P90,P95,P99
stock_level,131.1911,155.5229,179.2851,242.1409
payment,13.2899,31.3091,34.6752,115.1335
order,28.4004,44.7298,49.5873,126.2756
order_status,11.162,31.2916,70.3415,124.5571
delivery,39.7322,56.8345,61.0726,140.3892
