Transaction,P50,P90,P95,P99
payment,21.6882,38.8389,44.0662,168.5466
order,35.973,52.7108,59.3772,182.1159
delivery,47.333,63.8602,70.4776,190.593
order_status,17.9045,29.9767,35.8556,53.8891
stock_level,182.5354,230.1847,252.3142,301.1658
