Transaction,P50,P90,P95,P99
order,51.0645,86.5769,114.8224,318.9036
payment,35.3034,63.3783,86.4503,307.8547
stock_level,244.2102,407.3262,456.7366,598.4189
order_status,31.2612,57.2665,81.5599,281.8941
delivery,67.9801,109.1859,142.3901,355.8677
